State,Year,Democrat Votes,Democrat EC,Republican Votes,Republican EC,Third Party Votes,Third Party EC,Vote Margin (ABS),Vote Margin,Total Votes Minus Third Party,Total Votes,Total EC,Registered Voters
Rhode Island,2000,249508,4,130555,,29049,,118953,118953,380063,409112,4,753877
South Carolina,2000,565561,,785937,8,31219,,220376,-220376,1351498,1382717,8,2944326
South Dakota,2000,118804,,190700,3,6765,,71896,-71896,309504,316269,3,548498
Tennessee,2000,981720,,1061949,11,32512,,80229,-80229,2043669,2076181,11,4162996
Texas,2000,2433746,,3799639,32,174252,,1365893,-1365893,6233385,6407637,32,13033081
Utah,2000,203053,,515096,5,52605,,312043,-312043,718149,770754,5,1431668
Vermont,2000,149022,3,119775,,25511,,29247,29247,268797,294308,3,459174
Virginia,2000,1217290,,1437490,13,84667,,220200,-220200,2654780,2739447,13,5069265
Washington,2000,1247652,11,1108864,,130917,,138788,138788,2356516,2487433,11,4098044
West Virginia,2000,295497,,336475,5,16152,,40978,-40978,631972,648124,5,1390365
Wisconsin,2000,1242987,11,1237279,,118341,,5708,5708,2480266,2598607,11,3842044
Wyoming,2000,60481,,147947,3,9923,,87466,-87466,208428,218351,3,361078
Alabama,1996,662165,,769044,9,103140,,106879,-106879,1431209,1534349,9,2470766
Alaska,1996,80380,,122746,3,38494,,42366,-42366,203126,241620,3,414815
Arizona,1996,653288,8,622073,,129044,,31215,31215,1275361,1404405,8,2244672
Arkansas,1996,475171,6,325416,,83675,,149755,149755,800587,884262,6,1369459
California,1996,5119835,54,3828380,,1071269,,1291455,1291455,8948215,10019484,54,15662075
Colorado,1996,671152,,691848,8,147704,,20696,-20696,1363000,1510704,8,2346253
Connecticut,1996,735740,8,483109,,173765,,252631,252631,1218849,1392614,8,1881323
Delaware,1996,140355,3,99062,,31428,,41293,41293,239417,270845,3,421710
District of Columbia,1996,158220,3,17339,,10167,,140881,140881,175559,185726,3,361419
Florida,1996,2546870,25,2244536,,512388,,302334,302334,4791406,5303794,25,8077877
Georgia,1996,1053849,,1080843,13,164379,,26994,-26994,2134692,2299071,13,3811284
Hawaii,1996,205012,4,113943,,41165,,91069,91069,318955,360120,4,544916
Idaho,1996,165443,,256595,4,69681,,91152,-91152,422038,491719,4,700430
Illinois,1996,2341744,22,1587021,,382626,,754723,754723,3928765,4311391,22,6663301
Indiana,1996,887424,,1006693,12,241725,,119269,-119269,1894117,2135842,12,3488088
Iowa,1996,620258,7,492644,,121173,,127614,127614,1112902,1234075,7,1776433
Kansas,1996,387659,,583245,6,103396,,195586,-195586,970904,1074300,6,1436418
Kentucky,1996,636614,8,623283,,128811,,13331,13331,1259897,1388708,8,2396086
Louisiana,1996,927837,9,712586,,143536,,215251,215251,1640423,1783959,9,2559352
Maine,1996,312788,4,186378,,106731,,126410,126410,499166,605897,4,1001292
Maryland,1996,966207,10,681530,,133133,,284677,284677,1647737,1780870,10,2587978
Massachusetts,1996,1571763,12,718107,,266915,,853656,853656,2289870,2556785,12,3459193
Michigan,1996,1989653,18,1481212,,377979,,508441,508441,3470865,3848844,18,6677079
Minnesota,1996,1120438,10,766476,,305726,,353962,353962,1886914,2192640,10,3067802
Mississippi,1996,394022,,439838,7,59997,,45816,-45816,833860,893857,7,1715913
Missouri,1996,1025935,11,890016,,242114,,135919,135919,1915951,2158065,11,3342849
Montana,1996,167922,,179652,3,59687,,11730,-11730,347574,407261,3,590751
Nebraska,1996,236761,,363467,5,77187,,126706,-126706,600228,677415,5,1015056
Nevada,1996,203974,4,199244,,61061,,4730,4730,403218,464279,4,778092
New Hampshire,1996,246214,4,196532,,56429,,49682,49682,442746,499175,4,754771
New Jersey,1996,1652329,15,1103078,,320400,,549251,549251,2755407,3075807,15,4320866
New Mexico,1996,273495,5,232751,,49828,,40744,40744,506246,556074,5,851479
New York,1996,3756177,33,1933492,,626460,,1822685,1822685,5689669,6316129,33,10162156
North Carolina,1996,1107849,,1225938,14,182020,,118089,-118089,2333787,2515807,14,4318008
North Dakota,1996,106905,,125050,3,34456,,18145,-18145,231955,266411,3,357000
Ohio,1996,2148222,21,1859883,,526329,,288339,288339,4008105,4534434,21,6879687
Oklahoma,1996,488105,,582315,8,136293,,94210,-94210,1070420,1206713,8,1979017
Oregon,1996,649641,7,538152,,189967,,111489,111489,1187793,1377760,7,1962155
Pennsylvania,1996,2215819,23,1801169,,489130,,414650,414650,4016988,4506118,23,6805612
Rhode Island,1996,233050,4,104683,,52551,,128367,128367,337733,390284,4,602692
South Carolina,1996,504051,,573458,8,71948,,69407,-69407,1077509,1149457,8,1814777
South Dakota,1996,139333,,150543,3,33950,,11210,-11210,289876,323826,3,459971
Tennessee,1996,909146,11,863530,,121429,,45616,45616,1772676,1894105,11,2849910
Texas,1996,2459683,,2736167,32,415794,,276484,-276484,5195850,5611644,32,10540678
Utah,1996,221633,,361911,5,82085,,140278,-140278,583544,665629,5,1050452
Vermont,1996,137894,3,80352,,40203,,57542,57542,218246,258449,3,385328
Virginia,1996,1091060,,1138350,13,187232,,47290,-47290,2229410,2416642,13,3322135
Washington,1996,1123323,11,840712,,289802,,282611,282611,1964035,2253837,11,3078128
West Virginia,1996,327812,5,233946,,74701,,93866,93866,561758,636459,5,1417000
Wisconsin,1996,1071971,11,845029,,279169,,226942,226942,1917000,2196169,11,2868000
Wyoming,1996,77934,,105388,3,28249,,27454,-27454,183322,211571,3,240711
Alabama,1992,690080,,804283,9,193697,,114203,-114203,1494363,1688060,9,3030549
Alaska,1992,78294,,102000,3,78212,,23706,-23706,180294,258506,3,389898
Arizona,1992,543050,,572086,8,371870,,29036,-29036,1115136,1487006,8,2671933
Arkansas,1992,505823,6,337324,,107506,,168499,168499,843147,950653,6,1751083
California,1992,5121325,54,3630574,,2379822,,1490751,1490751,8751899,11131721,54,18460157
Colorado,1992,629681,8,562850,,376649,,66831,66831,1192531,1569180,8,2494998
Connecticut,1992,682318,8,578313,,355701,,104005,104005,1260631,1616332,8,2356937
